BSPlotNumber,SampleYear,_D,ACMA_D,ACMA_L,ACMA_M,ADFA_D,ADFA_M,AECA_D,AECA_L,AECA_M,ALRU_L,ARCsp_D,ARCsp_L,ARCsp_M,ARME_D,ARME_L,ARME_M,ARTCA_D,ARTCA_L,BAPI_D,BAPI_L,BAPI_M,CEAsp_D,CEAsp_L,CEAsp_M,CELE_L,CELE_M,CEOL_D,CEOL_L,CEOL_M,CEPA_D,CEPA_L,CEPA_M,CETH_D,CETH_L,CETH_M,ERAR_D,ERAR_L,ERAR_M,ERCA_D,ERCA_L,ERCA_M,GAEL_L,GENMO_D,GENMO_L,GENMO_M,HEAR_D,HEAR_L,HEAR_M,LAVE_L,LIDE_D,LIDE_L,LIDE_M,LOHI_D,LOHI_L,LOHI_M,LONsp_D,LONsp_M,LUAL_L,LUAL_M,MIAU_D,MISSING_D,MISSING_L,MISSING_M,PICOU_D,PICOU_L,PILA_L,PINsp_L,PIPO_D,PIPO_L,PIPO_M,PLRA_D,PLRA_L,PLRA_M,PSME_D,PSME_L,PSME_M,QUAG_D,QUAG_L,QUAG_M,QUCH_D,QUCH_L,QUCH_M,QUERsp_D,QUERsp_L,QUERsp_M,QUKE_D,QUKE_L,QUKE_M,QULO_D,QULO_L,QULO_M,QUPA_D,QUPA_L,QUPA_M,QUWI_L,RHCA_D,RHCA_L,RHCA_M,RHIL_D,RHIL_L,RHIL_M,RIBsp_L,RIBsp_M,RIGsp_D,RIGsp_L,RIGsp_M,RISA_D,RISA_L,RISA_M,SALsp_L,SAME_D,SAME_L,SAME_M,SESE_D,SESE_L,SESE_M,TODI_D,TODI_L,TODI_M,TREEsp_L,UMCA_D,UMCA_L,UMCA_M,VAOV_D,VAOV_L,VAOV_M,XXsp_D,XXsp_M
BS002,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.498669293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.506959164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000660519,2.190120984,0,0,9.50331E-05,0,0,0.000783827,0.113178921,0,0,0,0,0,0
BS002,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002375827,0.61162202,0.000952687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000314159,0.497972646,0.000176714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006586343,2.365126397,0,0,0.000254469,0,0,0.000176714,0.134691744,0.000176714,0,0,0,0,0
BS002,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001518173,0.706963779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000330652,0.478754754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005350913,2.492394564,0.002042819,0,0.000176714,0,0,0.004154753,0.149603301,0.00022698,0,0,0,0,0
BS002,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2398871,0.529020979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000176714,0.486845919,0.000153938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004597717,2.615853553,0,0,0.00022698,0,0,0.009570069,0.162144528,0,0,0,0,0,0
BS002,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.723813697,0.017233977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147454454,0.332026793,0.000176714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005551975,2.737099292,0,0,0.00022698,0,0,0.00910904,0.197656276,0,0,0,0,0,0
BS003,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000113097,0.04189703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.331830444,1.420905029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000113097,0,0,0,0.000132732,0,0,0,0,0,0
BS004,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003216988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058988065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000490873,0.19846288,0,0.001499324,0.407652718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003261756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000905563,0,0,0,0,0,0,0,0,0,0
BS005,2006,0,0,0.006082118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004185383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000333009,0.244821753,0,0,0,0,0,0,0,0,0,0,0,0,0,0.287890595,0,0,0,0,0,0,0,0,0,0,0,0,0.227186437,0,0.012271836,0.446063369,0,0,0,0,0,0,0,0,0,0,0.078003324,0.078617504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039548691,0,0,0,0,0,0
BS006,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00030552,0.007645845,0,0,0,0,0,0,0,0,0,0,0,0.001385441,0.00673714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050252088,0.79717375,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021382447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103992912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000615752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000490873,0,0,0,0.008322857,0,0,0,0,0,0
BS007,2006,0,0,0,0,0,0,0,0,0,0.049723516,0,0,0,0,0,0,0,0.0014522,0,0,0,0,0,0,0,0,0,0,0,0,0.00264679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007846906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.345631449,0,0,0.00090792,0,0,0,0,0,0,0,0,0,0,0,0.005240958,0,0,0,0,0,0,0.000490873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002945241,0,0,0.000452389,0.31583818,0,0,0,0,0,0
BS011,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000283528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.093481937,0,0,0,0,0,0,0,0,0,0,0,0.001424711,1.140796937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003257829,0,0,0,0,0,0
BS012,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.080546441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000113097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000314159,2.246075058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BS015,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006148877,0,0,0,0,0,0,7.85398E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.960373067,0.000380132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.453117023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016852274,0.895526723,0,0,0,0,0,0
BS016,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00015708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014306801,0,0,0,0.000255254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.482527804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137322826,0.98833636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136341864,0,0,0,0,0,0
BS016,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000271748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029766565,0,0,0,0.000387201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.607887455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142048563,1.029560304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151602138,0,0,0,0,0,0
BS016,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000537997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030028888,0,0,0,0.000479092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.652062923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13996883,1.03065829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151530667,0,0,0,0,0,0
BS017,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000645597,0.002217177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000779114,0.387070592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00379347,1.471196387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013547321,0,0,0,0,0,0
BS018,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071676947,0.107970165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011415753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06449213,1.337880659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000804247,0.022378331,0,0,0,0,0,0
