,BS_plot,SampleYear,p_ram,group,elevation,slope,dead_live_ratio,SE Class,stem_count,fire_presence,total volume per plot (500m2)
0,BS002,2006,1,control,359,33,0.0625,SESE_D,1,0,
1,BS002,2010,1,control,359,33,0.1875,SESE_D,3,0,0.0
2,BS002,2013,1,control,359,33,0.1111111111111111,SESE_D,2,0,0.0
3,BS002,2018,1,control,359,33,0.17647058823529413,SESE_D,3,0,0.0
4,BS002,2022,1,control,359,33,0.23076923076923078,SESE_D,3,0,1.670235156
5,BS027,2006,1,control,244,41,0.18181818181818182,SESE_D,2,0,
6,BS027,2009,1,control,244,41,0.15384615384615385,SESE_D,2,0,2.448748283
7,BS027,2010,1,control,244,41,0.15384615384615385,SESE_D,2,0,2.4487482839999997
8,BS027,2013,1,control,244,41,0.15384615384615385,SESE_D,2,0,2.6518836639999996
9,BS027,2018,1,control,244,41,0.25,SESE_D,3,0,7.972697393
10,BS027,2022,1,control,244,41,0.25,SESE_D,3,0,11.775860059
11,BS038,2007,1,dolan,553,33,0.22580645161290322,SESE_D,7,0,
12,BS038,2021,1,dolan,553,33,6.666666666666667,SESE_D,20,1,3.83949809
13,BS045,2007,1,dolan_chalk,478,39,0.12,SESE_D,3,0,
14,BS045,2009,1,dolan_chalk,478,39,1.8571428571428572,SESE_D,13,1,3.442813662
15,BS048,2007,0,dolan_chalk,475,20,0.1875,SESE_D,3,0,
16,BS048,2009,0,dolan_chalk,475,20,0.35714285714285715,SESE_D,5,1,0.838234607
17,BS048,2021,0,dolan_chalk,475,20,0.0,SESE_D,0,1,5.1912027290000005
18,BS050,2007,0,dolan_chalk,670,18,0.12162162162162163,SESE_D,9,0,
19,BS050,2009,0,dolan_chalk,670,18,0.7450980392156863,SESE_D,38,1,11.903282587
20,BS050,2021,0,dolan_chalk,670,18,1.7857142857142858,SESE_D,25,1,0.0595725
21,BS052,2007,0,dolan_chalk,541,32,0.24242424242424243,SESE_D,16,0,
22,BS052,2009,0,dolan_chalk,541,32,3.4,SESE_D,34,1,0.888186755
23,BS052,2010,0,dolan_chalk,541,32,3.2222222222222223,SESE_D,29,1,0.8933934139999999
24,BS052,2013,0,dolan_chalk,541,32,0.3617021276595745,SESE_D,17,1,4.132222011
25,BS052,2018,0,dolan_chalk,541,32,0.26229508196721313,SESE_D,16,1,4.664371836
26,BS052,2021,0,dolan_chalk,541,32,5.3,SESE_D,53,1,1.172549182
27,BS053,2007,1,dolan_chalk,317,38,0.42857142857142855,SESE_D,6,0,
28,BS053,2009,1,dolan_chalk,317,38,0.3333333333333333,SESE_D,2,1,29.993038162000005
29,BS053,2010,1,dolan_chalk,317,38,0.06666666666666667,SESE_D,1,1,31.958865571
30,BS053,2013,1,dolan_chalk,317,38,0.034482758620689655,SESE_D,2,1,34.469751174
31,BS053,2018,1,dolan_chalk,317,38,0.015625,SESE_D,1,1,34.424304111
32,BS053,2021,1,dolan_chalk,317,38,5.2,SESE_D,26,1,4.995042109
33,BS058,2007,0,dolan,744,25,0.09558823529411764,SESE_D,13,0,
34,BS058,2009,0,dolan,744,25,0.09375,SESE_D,15,0,0.959726514
35,BS058,2010,0,dolan,744,25,0.08383233532934131,SESE_D,14,0,0.959726514
36,BS058,2013,0,dolan,744,25,0.15,SESE_D,24,0,0.959726514
37,BS058,2018,0,dolan,744,25,0.4122137404580153,SESE_D,54,0,2.679536748
38,BS058,2021,0,dolan,744,25,0.9032258064516129,SESE_D,56,1,0.303839133
39,BS059,2007,0,dolan,630,40,0.14516129032258066,SESE_D,9,0,
40,BS059,2021,0,dolan,630,40,0.28688524590163933,SESE_D,35,1,0.0
41,BS081,2006,1,sober,308,23,0.16216216216216217,SESE_D,6,0,
42,BS081,2018,1,sober,308,23,0.34782608695652173,SESE_D,24,1,4.101016212
43,BS081,2023,1,sober,308,23,0.3235294117647059,SESE_D,22,1,5.455198468
44,BS084,2006,1,sober,432,36,0.0,SESE_D,0,0,
45,BS084,2010,1,sober,432,36,0.17647058823529413,SESE_D,3,0,1.154731964
46,BS084,2013,1,sober,432,36,0.16666666666666666,SESE_D,3,0,2.318745484
47,BS084,2018,1,sober,432,36,0.19148936170212766,SESE_D,9,1,0.874084028
48,BS084,2022,1,sober,432,36,0.09090909090909091,SESE_D,3,1,1.033069037
49,BS086,2006,1,sober,578,28,0.0,SESE_D,0,0,
50,BS086,2018,1,sober,578,28,0.07894736842105263,SESE_D,3,1,0.427917525
51,BS086,2023,1,sober,578,28,0.11538461538461539,SESE_D,3,1,0.605386094
