,BS_plot,SampleYear,p_ram,group,fire_status,elevation,slope,dead_live_ratio,SE Class,stem_count,fire_presence
0,BS002,2006,1,control,No Fire,359,33,0.0625,SESE_D,1,0
1,BS002,2010,1,control,No Fire,359,33,0.1875,SESE_D,3,0
2,BS002,2013,1,control,No Fire,359,33,0.1111111111111111,SESE_D,2,0
3,BS002,2018,1,control,No Fire,359,33,0.17647058823529413,SESE_D,3,0
4,BS002,2022,1,control,No Fire,359,33,0.23076923076923078,SESE_D,3,0
26,BS027,2006,1,control,No Fire,244,41,0.18181818181818182,SESE_D,2,0
27,BS027,2009,1,control,No Fire,244,41,0.15384615384615385,SESE_D,2,0
28,BS027,2010,1,control,No Fire,244,41,0.15384615384615385,SESE_D,2,0
29,BS027,2013,1,control,No Fire,244,41,0.15384615384615385,SESE_D,2,0
30,BS027,2018,1,control,No Fire,244,41,0.25,SESE_D,3,0
31,BS027,2022,1,control,No Fire,244,41,0.25,SESE_D,3,0
39,BS038,2007,1,dolan,Fire,553,33,0.22580645161290322,SESE_D,7,0
40,BS038,2021,1,dolan,Fire,553,33,6.666666666666667,SESE_D,20,1
46,BS045,2007,1,dolan_chalk,Fire,478,39,0.12,SESE_D,3,0
47,BS045,2009,1,dolan_chalk,Fire,478,39,1.8571428571428572,SESE_D,13,1
60,BS048,2007,0,dolan_chalk,Fire,475,20,0.1875,SESE_D,3,0
61,BS048,2009,0,dolan_chalk,Fire,475,20,0.35714285714285715,SESE_D,5,1
62,BS048,2021,0,dolan_chalk,Fire,475,20,0.0,SESE_D,0,1
63,BS050,2007,0,dolan_chalk,Fire,670,18,0.12162162162162163,SESE_D,9,0
64,BS050,2009,0,dolan_chalk,Fire,670,18,0.7450980392156863,SESE_D,38,1
65,BS050,2021,0,dolan_chalk,Fire,670,18,1.7857142857142858,SESE_D,25,1
66,BS052,2007,0,dolan_chalk,Fire,541,32,0.24242424242424243,SESE_D,16,0
67,BS052,2009,0,dolan_chalk,Fire,541,32,3.4,SESE_D,34,1
68,BS052,2010,0,dolan_chalk,Fire,541,32,3.2222222222222223,SESE_D,29,1
69,BS052,2013,0,dolan_chalk,Fire,541,32,0.3617021276595745,SESE_D,17,1
70,BS052,2018,0,dolan_chalk,Fire,541,32,0.26229508196721313,SESE_D,16,1
71,BS052,2021,0,dolan_chalk,Fire,541,32,5.3,SESE_D,53,1
72,BS053,2007,1,dolan_chalk,Fire,317,38,0.42857142857142855,SESE_D,6,0
73,BS053,2009,1,dolan_chalk,Fire,317,38,0.3333333333333333,SESE_D,2,1
74,BS053,2010,1,dolan_chalk,Fire,317,38,0.06666666666666667,SESE_D,1,1
75,BS053,2013,1,dolan_chalk,Fire,317,38,0.034482758620689655,SESE_D,2,1
76,BS053,2018,1,dolan_chalk,Fire,317,38,0.015625,SESE_D,1,1
77,BS053,2021,1,dolan_chalk,Fire,317,38,5.2,SESE_D,26,1
86,BS058,2007,0,dolan,Fire,744,25,0.09558823529411764,SESE_D,13,0
87,BS058,2009,0,dolan,Fire,744,25,0.09375,SESE_D,15,0
88,BS058,2010,0,dolan,Fire,744,25,0.08383233532934131,SESE_D,14,0
89,BS058,2013,0,dolan,Fire,744,25,0.15,SESE_D,24,0
90,BS058,2018,0,dolan,Fire,744,25,0.4122137404580153,SESE_D,54,0
91,BS058,2021,0,dolan,Fire,744,25,0.9032258064516129,SESE_D,56,1
92,BS059,2007,0,dolan,Fire,630,40,0.14516129032258066,SESE_D,9,0
93,BS059,2021,0,dolan,Fire,630,40,0.28688524590163933,SESE_D,35,1
128,BS081,2006,1,sober,Fire,308,23,0.16216216216216217,SESE_D,6,0
129,BS081,2018,1,sober,Fire,308,23,0.34782608695652173,SESE_D,24,1
130,BS081,2023,1,sober,Fire,308,23,0.3235294117647059,SESE_D,22,1
132,BS084,2006,1,sober,Fire,432,36,0.0,SESE_D,0,0
133,BS084,2010,1,sober,Fire,432,36,0.17647058823529413,SESE_D,3,0
