Plot,BigSurPlot,SiteID,OriginalSampleYear,Forest.Type,,,,,,,,,,,BurnSurvey,Basin,Chalk,,BARCseverity,CBI.mean,CBI.Int,CBI.Big,,,,,2009plot,2010plot,,,,,,,,,,,,,,,,,ownership,,,,,owner,own_category,,GPS.Device,Zone,Easting,Northing,Error.GPS,Averaged.points.GPS,Elevation,TMI,Slope,Plot.Aspect,Overall.Aspect,RoadLocationCategory,RoadUse,Landscape.Location,PlotNotes,Landuse.history,,,,,,,,,,Pram.0607,Pnem.0607,Ppseudo.0607,neg.isolation.0607,Pram2009,Psp2009,neg.isolation.09,samp.notes09,PCR.2009,isol.PCR.09,transect.09,Pram2010,Pnem2010,Ppseudo2010,,neg.isolation.10,PCRnotes10,PCR.10,isol.PCR.10,transect.10,Pram2011,Pnem2011,Ppseudo2011,,neg.isolation.11,Pram2013,Pnem2013,Ppseudo2013,,neg.isolation.13,,,,,,,,,,,,,,,,
plot,Big Sur Plot Number (our BS002-BS633),"Site ID (from ParkContacts table, unique 4-6 letter acronym)",Original Sample Year ,Forest Type (1= ME or 2= SESE),Eliminated plot,"Burn POST Set-Up (0=no, 1=yes) blue highlight is the Palo Colorado fire in 2022, green is Pfeiffer fire of 2013",burned 2020,burned 2016,burned 2008,Revisited since establishment (0=no; 1=yes),"Not Fully Resurveyed since 2006/07 (excluding 08 & 09 survevys) 1=yes, 0=resurveyed recently",Only 08/09 revisited,Seedling Plot Maintained w/EMC,***Seedling Mini-Plot Established(1=yes established) orange no data for but previously established by AS.,"2008 Burn PLOT sampled in Oct. 2008 (0=no, 1=yes)","in BASIN FIRE (0=not w/in perimeter, 1=yes w/in perimter)","in CHALK FIRE (0=not w/in perimeter, 1=yes w/in perimter)","Pfeiffer FIRE 12/2013 (0=not w/in perimeter, 1=yes w/in perimter)","BARC map category: 0=none, 1=low, 2=moderate, 3=high, ","CBI.mean (Composite Burn Index mean; The mean of five scores recorded in the post-burn survey (cwd, herb, shrub, intermediate trees, and overstory big trees); an overall index of burn severity.",Intermediate Score; (the average of four ratings recorded in the post-burn survey made to intermediate-sized trees),"Big Score; (the average of four ratings recorded in the post-burn survey made to big, or overstory trees)",# of fires between 1950 & plot set up,# of fires before plot set up,"TOTAL # FIRES (including 2008, 2016, & 2020)",Years Burned,"2009 DONE (1=yes, *=MB sampling only)",2010 DONE Redwd,2011  DONE Mixed-Evrgrn,2013 DONE Redwd (S=soil only),2014 DONE Mixed-Evrgrn,2017 Browns DONE,2018 DONE Redwd,2019 DONE Mixed-Evrgrn,2021 DONE,2022 DONE,2023 DONE,notes,Ceanothus plot ( 0=has ever had veg cov class <10%; 1= has ever had a Cesp cover class >10%; 2=has ever had a Cesp cover class >25%),"CEsp 2006-2007 (2=veg cov class 5+ (>25%), 1=veg cov class 3-4 (10-15%) 0=veg cov class <3(<10%))","CEsp 2010-2011 (2=veg cov class 5+ (>25%), 1=veg cov class 3-4 (10-15%) 0=veg cov class <3(<10%))","CEsp 2013-2014 (2=veg cov class 5+ (>25%), 1=veg cov class 3-4 (10-15%) 0=veg cov class <3(<10%))","CEsp 2018-2019 (2=veg cov class 5+ (>25%), 1=veg cov class 3-4 (10-15%) 0=veg cov class <3(<10%))","CEsp 2021-2023 (2=veg cov class 5+ (>25%), 1=veg cov class 3-4 (6-15%) 0=veg cov class <3(<10%))",Ownshp (1 public 2 private),SOD MAP,Can Share plot location=yes (Public plots); and Can't Share=no (Private Property plots),4 Wheel Drive Necessary,Name of NearestTrail,owner,Ownership categories (1=Federal; 2=State; 3=Private; 4=County/Conservation Lands,PlotLocation,"GPS Device (Bart, Trimble,etc)",Zone (UTM  coordination-NAD 83 Datum),Easting (UTM  coordination-NAD 83 Datum),Northing (UTM  coordination-NAD 83 Datum),Error (Error given by GPS device(meters)),15-30 Averaged points and differentially corrected  ,Elevation (updated 3/2025),TMI_RASTERVALU (topographic moisture index),"Slope (Slope degree (0-45),  Used clinometer) ","Plot Aspect (Direction,(0-359) ",Overall  Aspect ,"Trail/RoadLocationCategory (trail location in reference to plot; category 1-4:1-below, 2-above, 3-within, 4-adjacent) ","Trail/Road Use: 1-low, 2-med, 3-high) 4  very low use/old dirt road, 5 dirt road 6 paved road","Landscape Location (riparian, lower slope,mid slope, upper slope or ridge)","Plot Notes (Anything special about the plot-, apparent infection level,density of understory, ability to Id oaks, safety (steepness, soil condition)etc,etc)","Land use history (Evidence of past land use or disturbance eg. Logging, fence posts, recent fire, road cuts…)",EVER P.ram Culture positive,1st P.ram Dection,P.ram + Post Basin Fire (updated Dec 2020),EVER P.pseudosyringae,"Time since infection (2018 survey(X=not tested since estab., 0=2018, -=negitive,neg '09=burned '08, sampled in '09)","2018; 1=Recent, 0-3years or NEVER; 2= >3 years",06/07 Initial status (1= negative; 2= positive),2010 (1=negative or < 3yrs; 2= >3yrs),2013 (1= negative or <3years; 2= >3years),"06,07 Pram Present (Yes(1)=Culture Positive, NO (0)= culture negative or no sample)","06,07 Pnem Present (Yes(1)=Culture Positive,  NO (0)= culture negative or no sample)","06,07 PpseudoPresent (Yes(1)=Culture Positive, NO (0)=culture negative or no sample)","Isolation Negative: 1=isolation attempted, negative result, 0=positive isolation or not recorded; none= no samples taken","2009 Pram Present (Yes(1)=Culture Positive, NO (0)= culture negative or no sample)","2009 Pspecies (Yes(1)=Culture Positive,  NO (0)= culture negative or no sample)","Isolation Negative 2009: 1=isolation attempted, negative result, 0=positive isolation or not recorded; none= no samples taken",sample notes,"2009 PCR results from UCBerkeley(1=isolation attempted, negative result, 0=positive isolation; none= no samples taken) ","Combined culture and PCR 2009 results (1=isolation attempted, negative result, 0=positive isolation or not recorded; none= no samples taken)","2009 Transect results; excluding soil samples  (1=isolation attempted, negative result, 0=positive isolation or not recorded; none= no samples taken; ?=missing data)","2010 Pram Present (Yes(1)=Culture Positive, NO (0)= culture negative or no sample)","2010 Pnem Present (Yes(1)=Culture Positive,  NO (0)= culture negative or no sample)","2010 PpseudoPresent (Yes(1)=Culture Positive, NO (0)=culture negative or no sample)","2010 Pspecies (Yes(1)=Culture Positive,  NO (0)= culture negative or no sample)","Isolation Negative 2010: 1=isolation attempted, negative result, 0=positive isolation; none= no samples taken",2010sample notes,"2010PCR results (1=isolation attempted, negative result, 0=positive isolation or not recorded; none= no samples taken) pink is culture negative, pcr positive. Bright orange is culture positive but PCR negative.","Combined culture and PCR 2010 results (1=isolation attempted, negative result, 0=positive isolation or not recorded; none= no samples taken)","2010 Transect results; excluding soil samples  (1=isolation attempted, negative result, 0=positive isolation or not recorded; none= no samples taken; ?=missing data)","2011 Pram Present (Yes(1)=Culture Positive, NO (0)= culture negative or no sample)","2011 Pnem Present (Yes(1)=Culture Positive,  NO (0)= culture negative or no sample)","2011 PpseudoPresent (Yes(1)=Culture Positive, NO (0)=culture negative or no sample)","2011 Pspecies (Yes(1)=Culture Positive,  NO (0)= culture negative or no sample)","Isolation Negative 2011: 1=isolation attempted, negative result, 0=positive isolation or not recorded; none= no samples taken","2013 Pram Present (Yes(1)=Culture Positive, NO (0)= culture negative or no sample)","2013 Pnem Present (Yes(1)=Culture Positive,  NO (0)= culture negative or no sample)","2013 PpseudoPresent (Yes(1)=Culture Positive, NO (0)=culture negative or no sample)","2013 Pspecies (Yes(1)=Culture Positive,  NO (0)= culture negative or no sample)","Isolation Negative 2013: 1=isolation attempted, negative result, 0=positive isolation or not recorded; none= no samples taken","TB Soil Baiting 2013; 1=P.ram, 2=P.sp's, 3=P.ram & P.sp's, 4=Null","2014 Pram Present (Yes(1)=Culture Positive, NO (0)= culture negative or no sample)","2014 Pnem Present (Yes(1)=Culture Positive,  NO (0)= culture negative or no sample)","2014 PpseudoPresent (Yes(1)=Culture Positive, NO (0)=culture negative or no sample)","2014 Pspecies (Yes(1)=Culture Positive,  NO (0)= culture negative or no sample)","Isolation Negative 2014: 1=isolation attempted, negative result, 0=positive isolation or not recorded; none= no samples taken","TB Soil Baiting 2014; 1=P.ram, 2=P.sp's, 3=P.ram & P.sp's, 4=Null",,"2018 Pram Present (Yes(1)=Culture Positive, NO (0)= culture negative or no sample)","2018 Pnem Present (Yes(1)=Culture Positive,  NO (0)= culture negative or no sample)","2018 PpseudoPresent (Yes(1)=Culture Positive, NO (0)=culture negative or no sample)","2018 Pspecies (Yes(1)=Culture Positive,  NO (0)= culture negative or no sample)","2019 Pram Present (Yes(1)=Culture Positive, NO (0)= culture negative or no sample)","2019 Pnem Present (Yes(1)=Culture Positive,  NO (0)= culture negative or no sample)","2019 PpseudoPresent (Yes(1)=Culture Positive, NO (0)=culture negative or no sample)","2019 Pspecies (Yes(1)=Culture Positive,  NO (0)= culture negative or no sample)"
2,BS002,BSCT,2006,2,,0,,,,1,0,,1,1,0,0,0,0,n/a,N/A,N/A,N/A,2,2,2,"1970, 1985",,1,,1,,,1,,,1,,,,,,,,,1,yes,yes,no,Cruischank trail,USFS,1,"USFS. Cruickshank Trail; Up Cruischank trail and into second large drainage of SESE where there is a confluence. Pass picnic table and campsite, come up onto a small ridge and head down (NW) into oaks from there. Get down @ ~50-60M and head (W, SW), toward Redwoods and small draw. Going down earlier on the trail is pretty trecherous, very steep and ugly.",Bart,10,645607.00,3969194.00,"7, but had to adjust it by 15meters to the south",,359,7.723760128,33,275,326,2,1,upper-slope,"little drainage at S. End of plot flowing.  Spanish moss on oaks, low use/ deer trail through center of plot. Hard packed gravely soil. Lots of viney TODI. Gps coverage right in center was awful. We had to go 15m South to get reception. The number entered in that adjusted #. the original # is 645607, 3969209 adjusted 15mS= 645607, 3969209",lots of Fire Char on some of these trees. Not sure about fire frequency.,1,2018,,1,0,1,1,1,1,,,1,0,,,,,,,,,,,,1,,,,,,,,,,,,,,PCR,2,,,,,,2,P.cactorum,1,,,,,,,
3,BS003,BSCT,2006,1,,0,,,,0,1,,,,0,0,0,0,n/a,N/A,N/A,N/A,2,2,2,"1970, 1985",,,,,,,,,,,,,0,0,,,,,1,,yes,no,Cruischank trail,USFS,1,"USFS. Cruickshank Trail; Follow the Cruickshank Trail up to first drainage with SESE. Walk past this through cleared area and around bend in trail. On upper side of trail, will start to clear out a bit. Head up use trail to edge of knoll w/ open oak woodland. Tons of poak in understory! Flat knolls above.",Bart,10,645192,3968585,10,,387,6.802878857,14,325,360,1,1,upper-slope," Very high understory cover so many seedlings could have been missed, not accurate measure. Densiometer readings all over place due to gaps, Avg cover about 65-70%. RHCA cover is only for what is still alive. Much of it is dead.","Use trail from main trail leads up and through plot. Flat knolls above, maybe middens???",,,,,X,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,BS004,BSWC,2006,1,,0,,,,0,1,,,,0,0,0,0,n/a,N/A,N/A,N/A,2,2,2,"1970, 1985",,,,,,,,,,,,,,,,,,,1,,yes,Yes,Lion Den/ Cruischank trail,USFS,1,"USFS. Willow Creek/ Los Burros Road; starts at the enterance to TreeBones Resort. Follow to top of ridge and take signed road heading South, toward Lion Den and Lottie Potrero. Park at trail head to Lion Den camp. Hike out and down ridge line. Come to flowing creek (even in September!) w/ large Alders, next small draw come to open area. Hike up in greasslands before cutting over to the west. TONS of TODI!!! look for a dominant LIDE that is in the plot.",UCD Trimble,10,647467.17,3969483.48,5,,778,6.808213711,35,3,3,1,1,upper-slope,"plot has huge TODI bushes, good to do late in season, cooler and TODI will be dried up. PICO and Grey pine and Santa Lucia fir nearby. Many species have dried up and died this time of year. Elderberry nearby.",,,,,1,X,,1,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,BS005,BSWC,2006,1,,0,,,,0,1,,,,0,0,0,0,n/a,N/A,N/A,N/A,2,3,3,"1930, 1970, 1985",,,,,,,,,,,,,,,,,,,1,,yes,Yes,Lion Den/ Cruischank trail,USFS,1,"USFS. Willow Creek/ Los Burros Road; starts at the enterance to TreeBones Resort. Follow to top of ridge and take signed road heading South, toward Lion Den. Down from Los Burros Road to Lion Den camp and out to Cruishank trail. Before you get to the plot cross draw (small) head up and south to find a meadow to bring you farther south. Awful lot of TODI in here!! Beware!! Come in late season!",UCD Trimble,10,648062.17,3969515.77,2.73,,839,7.339952946,37,35,35,1,1,upper-slope,"Steep, loose rocks, large rock cliff in S edge of plot. Have to go through  massive amounts of TODI to get here. Good Luck! Come late in season when cooler and the TODI has dropped it's leaves.",,,,,,X,,1,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,BS006,BSWC,2006,1,,0,,,,0,1,,,,0,0,0,0,n/a,N/A,N/A,N/A,2,3,3,"1930, 1970, 1985",,,,,,,,,,,,,,,,,,,1,,yes,Yes,Lion Den/ Cruischank trail,USFS,1,"USFS. Willow Creek/ Los Burros Road; starts at the enterance to TreeBones Resort. Follow to top of ridge and take signed road heading South, toward Lion Den. On trail to Lion Den, Past camp down to where you see large Santa Lucia firs, 1-2 miles down. Head down to creek. Hike down stream to confluence, Hike up creek that comes in from the left. This little creek eventually crosses the trail. Plot is on right as you hike up the little tributary. Plot is only ~30m from main creek. Large Dominant UMCA in confluence where you head up.",UCD Trimble,10,648646.21,3969732.21,3.1,,800,5.063565254,33,23,23,2,1,riparian,"Look for large Emergent LIDE. A lot of unmeasurable downed woody debris.Very dense in here. In wet season creek will be flowing in NE portion of plot. Some tags point toward creek. Designated veg type is wrong. There are not SESE in the area, must have mistaken the Pines and Firs.",A lot of down LIDE but apparently not due to SOD or any other phytophthora. No evidence of disease in here. Maybe old fire effects. ,,,,,X,,1,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,BS007,BSWC,2006,1,,0,,,,0,1,,,,0,0,0,0,n/a,N/A,N/A,N/A,2,2,2,"1970, 1985",,,,,,,,,,,,,1,1,,,,,1,,yes,Yes,Lion Den/ Cruischank trail,USFS,1,"USFS. Willow Creek/ Los Burros Road; starts at the enterance to TreeBones Resort. Follow to top of ridge and take signed road heading South, toward Lion Den. On trail to Lion Den, from Lion Den Camp, (nice camp limited water just past the camp) go out to point and head SW down into drainage under oaks and pines. Cross over creek and up on opposite side above confluence",UCD Trimble,10,649956.78,3969434.36,4.37,,885,6.660821438,35,143,143,2,1,upper-slope,"Steep and rocky especially in S end of plot. Right above a condluence, chapparal to the west w/ grey pines. Creek to the E and W. Tons of vining TODI. Canopy cover measurements did not seem very representative. Huge gap at center of plot. lower drainage above a confluence, but close to the riget top as well= designating an accurate topo position difficult.",,,,,,X,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,BS011,BSSC,2007,1,,0,,,,0,1,,,,0,0,0,0,n/a,N/A,N/A,N/A,2,2,2,"1970, 1985",,,,,,,,,,,,,,,,,,,1,,yes,no, Soda Springs/ Buckeye Trail,USFS,1,"USFS. Buckeye Trail. Go up the Soda Springs Trail to access the Buckeye. Go north or left when the Soda Springs Trail meets the Buckeye Trail.  Follow the trail past plot BS12,and past 2 drainages. After 2nd drainage head ~N up and up very steep ridge on the side of a steep drainage. Plot is half in a clearing/opening along ridge to S/SW. Game trail leads up to plot.",UCD Trimble,10,647115.29,3966220.18,5,yes,492,7.147201061,33,155,200,1,1,upper-slope,"Plot is very steep! Careful, bee nest somewhere nearby. Lots of poison oak in area (not so much in plot). Rocky soil. More than half of the plot is in a gap, open to the sun. Trees on edges with steep dropoffs to both sides and below plot. Dense understory! Possibly missed seedlings. Due to opening, many of the flowers have already gone to seed and some difficult to ID. South densiometer reading included some hillside cover. PICO was our best guess for the 3 needle pine, we did not have any cones.",Small game trails through lower part of plot and game trail that leads up to plot,,,,,X,,1,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,BS012,BSSC,2007,1,,0,,,,0,1,,,,0,0,0,0,n/a,N/A,N/A,N/A,2,2,2,"1970, 1985",,,,,,,,,,,,,2,2,,,,,1,,yes,no, Soda Springs/ Buckeye Trail,USFS,1,"USFS. Buckeye Trail. Go up Soda Springs Trail. Come to Buckeye trail. Go left toward Buckeye Camp. Go until you get into more open woodland and go over small drainage. Head down toward highway/ocean, on shallow, mellow, open understory QUAG forest. Plot was moved upslope from original location.",UCD Trimble,10,647090.49,3965577.69,5,yes,350,6.68817234,22,230,256,2,1,upper-slope,Many oaks are really covered in spanish moss which probably attributed to infection level 2 by Ross. Steep in W part of plot. Lots of rolly pollies in here! Many seedlings could be missed in here due to lots of TODI and dense herb layer. Tags put low.,Lots of game trails.  Looks like all the bark got burned off the trees in here.,,,,,X,,1,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,BS015,BSSC,2006,1,,0,,,,0,1,,,,0,0,0,0,n/a,N/A,N/A,N/A,2,2,2,"1970, 1985",,,,,,,,,,,,,,,,,,,1,,yes,no,Salmon Creek Trail/ Spruce Creek Trail,USFS,1,"USFS. Salmon Creek Trail; Follow Salmon Creek Trail to intersection with Spruce Creek Trail. Go right (towards Spruce Creek). After a short, very steep switchback, head off trail, downhill along minor ridge. Plot is 12.6 m below large PSME.",Bart,10,649665,3965835,8,,364,6.027668476,38,340,340,2,1,mid-slope,"Lots of CWD not making 20c. PMSE widow makers in plot- careful! Some Qupa crushed by PSME debris. Very dense understory in sections, making it difficult to see seedlings. Potential bee nest in drainage to W of plot. Lots of poak. Late in season, some plants may be dead, unable to ID or include in cover. Phytoph symptoms on bay, but no evidence of SOD and pram on oaks. Plot spans minor ridge (of 340 degrees). Drainages to the W and E both have gaps but not really picked up in the cover.","PSME grown since fire (new growth visible), but fire did not kill??",,,,,X,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
